start time,end time,In,Out
2000-01-01 00:00:00,2000-01-01 00:00:04,2,1
2000-01-01 00:00:05,2000-01-01 00:00:09,1,2
2000-01-01 00:00:10,2000-01-01 00:00:14,0,0
2000-01-01 00:00:15,2000-01-01 00:00:19,0,0
2000-01-01 00:00:20,2000-01-01 00:00:24,0,0
2000-01-01 00:00:25,2000-01-01 00:00:29,0,0
2000-01-01 00:00:30,2000-01-01 00:00:34,0,0
2000-01-01 00:00:35,2000-01-01 00:00:39,0,0
2000-01-01 00:00:40,2000-01-01 00:00:44,0,0
2000-01-01 00:00:45,2000-01-01 00:00:49,0,0
2000-01-01 00:00:50,2000-01-01 00:00:54,0,0
2000-01-01 00:00:55,2000-01-01 00:00:59,4,1
2000-01-01 00:01:00,2000-01-01 00:01:04,0,0
2000-01-01 00:01:05,2000-01-01 00:01:09,0,0
2000-01-01 00:01:10,2000-01-01 00:01:14,0,0
2000-01-01 00:01:15,2000-01-01 00:01:19,0,0
2000-01-01 00:01:20,2000-01-01 00:01:24,0,0
2000-01-01 00:01:25,2000-01-01 00:01:29,0,0
2000-01-01 00:01:30,2000-01-01 00:01:34,0,0
2000-01-01 00:01:35,2000-01-01 00:01:39,0,0
2000-01-01 00:01:40,2000-01-01 00:01:44,0,0
2000-01-01 00:01:45,2000-01-01 00:01:49,0,0
2000-01-01 00:01:50,2000-01-01 00:01:54,0,0
2000-01-01 00:01:55,2000-01-01 00:01:59,0,0
2000-01-01 00:02:00,2000-01-01 00:02:04,0,0
2000-01-01 00:02:05,2000-01-01 00:02:09,0,0
2000-01-01 00:02:10,2000-01-01 00:02:14,3,5
2000-01-01 00:02:15,2000-01-01 00:02:19,0,0
